timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
16692000,0.0,0.0,-1.0,0.20094223,0.07115663,-0.8001321,0.41256192,0.22313131,-8.039355,0.038279314,0.020703105,-0.90989304,1.6237872,0.0
16788000,0.0,0.0,-1.0,0.19603428,0.077749684,-0.7674469,0.3823241,0.23148146,-7.9541674,0.03530408,0.021375163,-0.90554965,1.6237872,0.0
16892000,0.0,0.0,-1.0,0.18887642,0.083391376,-0.73171484,0.35617164,0.22796597,-7.8575735,0.032710455,0.02093617,-0.90062475,1.6237872,0.0
16988000,0.0,0.0,-1.0,0.18087846,0.0873437,-0.698604,0.32343987,0.23238203,-7.769806,0.029556185,0.021235252,-0.8961499,1.6237872,0.0
17092000,0.0,0.0,-1.0,0.17208761,0.094643235,-0.66142964,0.30282447,0.24486981,-7.6899886,0.027546486,0.02227463,-0.8920803,1.6237872,0.0
17188000,0.0,0.0,-1.0,0.16290843,0.09987603,-0.6278243,0.27441558,0.24786882,-7.642679,0.024895338,0.022486983,-0.8896682,1.6237872,0.0
17292000,0.0,0.0,-1.0,0.15195285,0.10387276,-0.59280765,0.25285548,0.25063398,-7.612247,0.02289893,0.022697747,-0.8881166,1.6237872,0.0
17396000,0.0,0.0,-1.0,0.14038485,0.106435254,-0.5597038,0.23430459,0.24621928,-7.596837,0.02119989,0.02227793,-0.8873309,1.6237872,0.0
17492000,0.0,0.0,-1.0,0.13065057,0.111804076,-0.52795446,0.21963464,0.25709382,-7.5715585,0.019844936,0.023229536,-0.886042,1.6237872,0.0
17588000,0.0,0.0,-1.0,0.12048629,0.11535859,-0.49847543,0.2042707,0.2595214,-7.558538,0.018441878,0.023429995,-0.8853782,1.6237872,0.0
17692000,0.0,0.0,-1.0,0.10921319,0.11745545,-0.4688818,0.1901411,0.25793865,-7.560143,0.017167438,0.023288732,-0.88546,1.6237872,0.0
17788000,0.0,0.0,-1.0,0.098747276,0.11801501,-0.44401157,0.17431352,0.24842857,-7.5650115,0.015743522,0.022437394,-0.8857082,1.6237872,0.0
17892000,0.0,0.0,-1.0,0.089625634,0.12257499,-0.4141425,0.16817975,0.25618604,-7.551104,0.015177398,0.023119535,-0.88499916,1.6237872,0.0
17996000,0.0,0.0,-1.0,0.08034416,0.12510781,-0.3873765,0.15953225,0.25345555,-7.549843,0.014396,0.022871528,-0.88493484,1.6237872,0.0
18092000,0.0,0.0,-1.0,0.07166441,0.1255431,-0.36531526,0.14931396,0.24321954,-7.5639167,0.013484635,0.021965306,-0.8856524,1.6237872,0.0
18196000,0.0,0.0,-1.0,0.062286586,0.124257036,-0.34406173,0.13905711,0.23425956,-7.5762568,0.012567636,0.021171797,-0.8862816,1.6237872,0.0
18292000,0.0,0.0,-1.0,0.054026198,0.12601699,-0.32384163,0.13426815,0.23594035,-7.571469,0.0121316565,0.021318141,-0.88603747,1.6237872,0.0
18396000,0.0,0.0,-1.0,0.045371838,0.12576911,-0.30463433,0.129286,0.23610938,-7.5818715,0.011687993,0.02134527,-0.88656783,1.6237872,0.0
18492000,0.0,0.0,-1.0,0.037715517,0.124026686,-0.28875798,0.12281567,0.22789058,-7.5919847,0.011108937,0.020613184,-0.88708353,1.6237872,0.0
18596000,0.0,0.0,-1.0,0.029779011,0.120724835,-0.27351493,0.115782104,0.2153582,-7.607047,0.010482029,0.019496888,-0.8878515,1.6237872,0.0
