timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
420864326,420863738,0,nan,nan,-1.1412007,-1.8488082,-0.1483776,-1.1340336,-1.8534724,-0.00029696373,0.001641705,0.0014679726,0.0027424265,0.002724066,-0.065173015,-0.016174957,-0.0012136542,0.0006249625,0.011307885,-0.00933987,0.13248794,-8.337351e-05,nan,0.1,0.016676541,0.011503853,0.04442937,0.02984843,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
420874949,420874399,0,nan,nan,-1.1411982,-1.8487977,-0.14836249,-1.1340336,-1.8534724,-0.00029696373,0.0017915057,0.0016049793,0.0029545329,0.0029202765,-0.065173015,-0.016174957,-0.0012136542,0.00485399,0.021256236,0.0074747107,0.13251564,-8.337351e-05,nan,0.1,0.017041028,0.011744741,0.044941425,0.030164555,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
420959937,420959392,0,nan,nan,-1.1411731,-1.8487031,-0.14826827,-1.1340336,-1.8534724,-0.00029696373,0.0021201442,0.0022488767,0.003174132,0.0029719952,-0.065173015,-0.016174957,-0.0012136542,-0.0013148906,0.04775058,-0.009335042,0.13251464,-8.337351e-05,nan,0.1,0.017002162,0.011733936,0.04434127,0.029798962,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421055540,421054981,0,nan,nan,-1.1411276,-1.8485713,-0.14823262,-1.1340336,-1.8534724,-0.00029696373,0.0014927239,0.0023941097,0.002753257,0.0023538976,-0.065173015,-0.016174957,-0.0012136542,-0.018648973,0.0016452115,-0.0077420096,0.13245337,-8.337351e-05,nan,0.1,0.017297134,0.011934796,0.044714153,0.03002526,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421161880,421161289,0,nan,nan,-1.1410923,-1.8484961,-0.14826602,-1.1340336,-1.8534724,-0.00029696373,0.0015958095,0.0020833262,0.0021428936,0.0015331315,-0.065173015,-0.016174957,-0.0012136542,0.016512843,-0.0071843076,0.0013418153,0.13251252,-8.337351e-05,nan,0.1,0.017598247,0.012148697,0.044654623,0.029991483,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421257631,421256961,0,nan,nan,-1.1411142,-1.848417,-0.14832515,-1.1340336,-1.8534724,-0.00029696373,0.00031684552,0.0048797326,0.0025238534,0.0017203758,-0.065173015,-0.016174957,-0.0012136542,-0.11239613,-0.42899016,0.05181315,0.1335079,-8.337351e-05,nan,0.1,0.014963346,0.010398727,0.041096803,0.027758969,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421363859,421363255,0,nan,nan,-1.14115,-1.8485337,-0.14845629,-1.1340336,-1.8534724,-0.00029696373,0.0008453144,0.008948928,0.0037960496,0.0027684816,-0.065173015,-0.016174957,-0.0012136542,0.095576055,0.116249695,0.07734277,0.13135725,-8.337351e-05,nan,0.1,0.016058661,0.011110616,0.043546285,0.029273978,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421459490,421458901,0,nan,nan,-1.141228,-1.8484911,-0.14849247,-1.1340336,-1.8534724,-0.00029696373,-0.0002944148,-0.0006184272,0.0036105937,0.0024446533,-0.065173015,-0.016174957,-0.0012136542,0.016685849,0.0823546,0.055419296,0.13276121,-8.337351e-05,nan,0.1,0.016633468,0.011484775,0.04459421,0.029920587,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421565675,421565136,0,nan,nan,-1.141365,-1.8485585,-0.14846015,-1.1340336,-1.8534724,-0.00029696373,8.466406e-05,0.0016247599,0.0031157983,0.0018301383,-0.065173015,-0.016174957,-0.0012136542,0.027415598,-0.025742577,0.03895761,0.13225311,-8.337351e-05,nan,0.1,0.017435908,0.012013422,0.045704816,0.030606193,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421661370,421660831,0,nan,nan,-1.1414245,-1.8486371,-0.14844638,-1.1340336,-1.8534724,-0.00029696373,0.00040070395,0.001176272,0.002285211,0.0009027784,-0.065173015,-0.016174957,-0.0012136542,0.11978378,-0.066642344,-0.026314849,0.13203679,-8.337351e-05,nan,0.1,0.017621813,0.012141956,0.045744408,0.030633274,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421757019,421756470,0,nan,nan,-1.1415324,-1.848707,-0.14853418,-1.1340336,-1.8534724,-0.00029696373,-0.0005527951,0.0023432553,0.0019288677,0.00045434406,-0.065173015,-0.016174957,-0.0012136542,-0.008409514,0.0093757175,0.0047439286,0.13218983,-8.337351e-05,nan,0.1,0.017724497,0.012215234,0.045718845,0.030617194,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421863400,421862735,0,nan,nan,-1.1416674,-1.8487384,-0.1486961,-1.1340336,-1.8534724,-0.00029696373,-0.001055935,0.00097071944,0.0011266514,-0.00045541683,-0.065173015,-0.016174957,-0.0012136542,-1.5993517e-05,0.06307118,0.04173942,0.13217025,-8.337351e-05,nan,0.1,0.015196432,0.010548492,0.041891515,0.028240178,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
421958957,421958366,0,nan,nan,-1.1417948,-1.8488194,-0.14893284,-1.1340336,-1.8534724,-0.00029696373,-0.0008667336,0.0017262658,0.0006671898,-0.0010059378,-0.065173015,-0.016174957,-0.0012136542,0.05509081,0.010276622,-0.044376988,0.13207698,-8.337351e-05,nan,0.1,0.015931051,0.011021204,0.043635044,0.029314412,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422065226,422064635,0,nan,nan,-1.1419747,-1.8488684,-0.14913704,-1.1340336,-1.8534724,-0.00029696373,-0.0013329941,0.0013601108,0.0003145673,-0.0013939815,-0.065173015,-0.016174957,-0.0012136542,-0.0132721625,-0.014122081,-0.033641808,0.13196237,-8.337351e-05,nan,0.1,0.016914345,0.011663269,0.04525034,0.030311704,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422160846,422160284,0,nan,nan,-1.14209,-1.848906,-0.14934845,-1.1340336,-1.8534724,-0.00029696373,-0.0013145248,0.0018247993,-0.0001640829,-0.0018641255,-0.065173015,-0.016174957,-0.0012136542,0.053681634,-0.020921828,0.020861432,0.1321521,-8.337351e-05,nan,0.1,0.017284872,0.011909937,0.04561461,0.03053844,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422256570,422255966,0,nan,nan,-1.1421915,-1.8488961,-0.1495901,-1.1340336,-1.8534724,-0.00029696373,-0.0015635337,0.00070822786,-0.0011730578,-0.0028357995,-0.065173015,-0.016174957,-0.0012136542,-0.037889488,-0.10657824,-0.008883171,0.13218807,-8.337351e-05,nan,0.1,0.017406674,0.011998319,0.04548135,0.030460086,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422362857,422362287,0,nan,nan,-1.1423182,-1.8489121,-0.14984044,-1.1340336,-1.8534724,-0.00029696373,-0.0019531944,0.0007113045,-0.0012310776,-0.0028136787,-0.065173015,-0.016174957,-0.0012136542,0.02970845,-0.31791666,-0.024805965,0.13215847,-8.337351e-05,nan,0.100089304,0.017827438,0.012282024,0.045852978,0.030691264,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422458429,422457899,0,nan,nan,-1.1424012,-1.8489,-0.15002036,-1.1340336,-1.8534724,-0.00029696373,-0.0015418186,0.0022458534,-0.00092657114,-0.002408509,-0.065173015,-0.016174957,-0.0012136542,0.2363924,0.75900424,-0.001458127,0.13202487,-8.337351e-05,nan,0.1001774,0.017709251,0.0122165885,0.04520458,0.030300105,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422564691,422564158,0,nan,nan,-1.1423873,-1.848968,-0.15025029,-1.1340336,-1.8534724,-0.00029696373,0.00023319779,0.0019886137,-0.0016776982,-0.0030387077,-0.065173015,-0.016174957,-0.0012136542,0.2910325,0.38756362,0.12053837,0.13198489,-8.337351e-05,nan,0.10028825,0.017958729,0.012384321,0.04556053,0.030515544,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422660327,422659801,0,nan,nan,-1.1422567,-1.8490951,-0.1504824,-1.1340336,-1.8534724,-0.00029696373,0.0019418546,0.0011640213,-0.0017832203,-0.003033692,-0.065173015,-0.016174957,-0.0012136542,0.5881994,0.44532782,0.31912684,0.13190447,-8.337351e-05,nan,0.10034979,0.017874697,0.012329357,0.045526866,0.030491378,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422756021,422755474,0,nan,nan,-1.1420345,-1.8493205,-0.15069789,-1.1340336,-1.8534724,-0.00029696373,0.0008859698,-0.0010525895,-0.0029931185,-0.004124497,-0.065173015,-0.016174957,-0.0012136542,-0.3000776,0.03821956,-0.16740015,0.13196617,-8.337351e-05,nan,0.100547604,0.017820235,0.012292283,0.04555921,0.030508835,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422862348,422861796,0,nan,nan,-1.141561,-1.8496367,-0.15098213,-1.1340336,-1.8534724,-0.00029696373,0.004355462,-0.0013757701,-0.0032723038,-0.0042917645,-0.065173015,-0.016174957,-0.0012136542,0.28864956,0.19064169,0.18288545,0.13189705,-8.337351e-05,nan,0.100831844,0.018030347,0.012431481,0.04586856,0.030696284,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
422957975,422957403,0,nan,nan,-1.14104,-1.849887,-0.15129894,-1.1340336,-1.8534724,-0.00029696373,0.002711202,-0.0015632174,-0.0036752212,-0.0046131704,-0.065173015,-0.016174957,-0.0012136542,-0.36178178,0.13367248,-0.46619698,0.13180749,-8.337351e-05,nan,0.10114866,0.017925635,0.012361555,0.045796826,0.030648796,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
