timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
215478391,nan,nan,nan,0.04601578,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
215488301,nan,nan,nan,0.046015505,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
215577385,nan,nan,nan,0.046006024,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
215676278,nan,nan,nan,0.046011657,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
215775069,nan,nan,nan,0.04602174,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
215873728,nan,nan,nan,0.046242364,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
215972756,nan,nan,nan,0.0464379,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
216071485,nan,nan,nan,0.046207733,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
216170307,nan,nan,nan,0.046115138,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
216279081,nan,nan,nan,0.046090756,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
216377998,nan,nan,nan,0.046065055,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
216476761,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.0006184518,-0.000107529755,1.8830225,-0.000820764,-0.0031829455,9.60685,0.0,0.0,0.0,-0.0,-0.0,-0.0101869935
216575489,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.0006955743,-0.00010028183,1.7525113,-0.0015147272,0.00072617194,9.316719,0.0,0.0,0.0,-0.0,-0.0,-0.024979537
216674324,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.000745517,-9.711087e-05,1.6219999,0.0005843636,0.00129451,9.00057,0.0,0.0,0.0,-0.0,-0.0,-0.04109864
216773164,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.0007894575,-7.16865e-05,1.4914871,-0.0025442392,0.000887654,8.660486,0.0,0.0,0.0,-0.0,-0.0,-0.0584381
216872159,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.00081743003,-5.430281e-05,1.360976,0.001172801,-0.0005831282,8.290213,0.0,0.0,0.0,-0.0,-0.0,-0.0773168
216970839,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.0008400798,-1.9818544e-05,1.2304635,-0.0059235673,0.0012908783,7.8993015,0.0,0.0,0.0,-6.561295e-05,1.4298533e-05,-0.09724772
217079552,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.00085208414,1.92523e-06,1.0869011,-1.0822667e-05,-0.004628316,7.4299026,0.0,0.0,0.0,-9.783575e-08,-4.183948e-05,-0.12118041
217178390,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.0008568406,1.5741587e-05,0.9563899,0.0036743407,0.00093194173,6.987346,0.0,0.0,0.0,4.8106973e-05,1.2201617e-05,-0.1437445
217277698,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.0008422315,4.093945e-05,0.8258769,0.011571492,-0.0015304437,6.518719,0.0,0.0,0.0,0.0001903084,-2.5170157e-05,-0.16763783
217376082,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.00081052183,4.9376486e-05,0.6953653,-0.0013471699,0.009313788,6.0256352,0.0,0.0,0.0,-2.8584727e-05,0.00019762326,-0.19277811
217475099,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.00082852837,3.0463934e-05,0.5648523,0.0037797801,-0.007947411,5.4993486,0.0,0.0,0.0,7.977128e-05,-0.00016772807,-0.21961126
217573752,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.0008310199,1.976192e-05,0.43434083,0.0011539747,0.0064058797,4.950028,0.0,0.0,0.0,3.0314573e-05,0.00016828056,-0.24761882
217672764,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.00081448554,7.531047e-06,0.30382937,-0.0072087822,0.012904525,4.3624663,0.0,0.0,0.0,-0.00020902362,0.0003741756,-0.27757612
217781440,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.00082841516,-6.019175e-05,0.16026506,0.0032005673,-0.0047901142,3.7131393,0.0,0.0,0.0,0.00011918813,-0.00017838237,-0.3106826
217870291,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.00072909595,-4.7564507e-05,0.042803474,-0.007602492,0.012635786,3.1306524,0.0,0.0,0.0,-0.00027095756,0.00045034726,-0.34038115
217979219,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.0007387221,-0.00013612509,-0.10075895,-0.0013818783,0.02071475,2.4581566,0.0,0.0,0.0,-5.30788e-05,0.00079566636,-0.3746689
218078007,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.00069093105,-0.00018516183,-0.23126982,-0.00018524082,0.008792265,1.7420468,0.0,0.0,0.0,-7.324916e-06,0.00034766964,-0.41118032
218176816,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.0006962538,-0.0002704948,-0.36178046,0.0126721505,-0.020118542,1.0952433,0.0,0.0,0.0,0.0005721204,-0.00090830907,-0.44415814
218275673,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.000627172,-0.0006170362,-0.49229255,0.0128873885,-0.017479876,0.41860187,0.0,0.0,0.0,0.0006279661,-0.0008517451,-0.47865725
218374569,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,-0.00023442507,-0.0010843575,-0.6228032,0.05161932,-0.028859405,-0.31242377,0.0,0.0,0.0,0.0027154349,-0.0015181493,-0.51592916
218473357,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,0.00063793064,-0.0017217218,-0.7533141,0.054430675,0.0053263903,-0.86497784,0.0,0.0,0.0,0.003020584,0.00029558348,-0.5441016
218572191,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,0.0029716492,-0.0030055672,-0.82145625,0.16611268,-0.0781131,-1.1338873,0.0,0.0,0.0,0.009448122,-0.0044429004,-0.55781215
218680755,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,0.009226948,-0.0056353747,-0.8046118,0.33458677,-0.13438848,-0.9663276,0.0,0.0,0.0,0.018739568,-0.007526843,-0.549269
218769717,-1.1076742,-0.99473935,-1.0,0.046024237,0.0,0.018124908,-0.008776161,-0.78863895,0.38439304,-0.13512172,-0.89204013,0.0,0.0,0.0,0.021381136,-0.0075158905,-0.5454814
