timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
752000,752000,0,nan,nan,1.974454e-05,-0.00014650394,0.008801489,7.1010354e-06,-6.389038e-06,0.0,0.0023764016,-0.002682362,0.13590975,2.1058362,0.0017752588,-0.0015972594,-0.07726617,0.063599624,0.06576364,-0.15950947,1.6344588,0.0,nan,0.10345734,14.163017,10.005909,7.0717454,3.1623058,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
760000,760000,0,nan,nan,3.9793405e-05,-0.00016430867,0.010034541,7.1010354e-06,-6.389038e-06,0.0,0.0030202924,-0.002073715,0.13472839,2.0332127,0.0017752588,-0.0015972594,-0.07726617,0.08911444,0.06446498,-0.16011296,1.6344775,0.0,nan,0.10337824,14.166937,10.007018,7.07188,3.1623082,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
768000,768000,0,nan,nan,6.495131e-05,-0.00017633225,0.011307519,7.1010354e-06,-6.389038e-06,0.0,0.0036504837,-0.0014517704,0.13371404,1.9630537,0.0017752588,-0.0015972594,-0.07726617,0.064808145,0.061541647,-0.1380667,1.6344903,0.0,nan,0.103249565,14.171185,10.008221,7.0720325,3.1623106,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
776000,776000,0,nan,nan,9.392181e-05,-0.00018272534,0.012617554,7.1010354e-06,-6.389038e-06,0.0,0.0041174483,-0.0008652826,0.13270856,1.8950778,0.0017752588,-0.0015972594,-0.07726617,0.05844577,0.066182934,-0.13809744,1.6345081,0.0,nan,0.10307419,14.175757,10.009516,7.0722027,3.162313,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
784000,784000,0,nan,nan,0.0001264248,-0.00018258329,0.013960391,7.1010354e-06,-6.389038e-06,0.0,0.0046206955,-0.00015550088,0.13143899,1.828906,0.0017752588,-0.0015972594,-0.07726617,0.06450804,0.06321727,-0.17757154,1.6345115,0.0,nan,0.10285659,14.180655,10.010903,7.072392,3.1623156,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
792000,792000,0,nan,nan,0.00016311064,-0.00017642028,0.01533235,7.1010354e-06,-6.389038e-06,0.0,0.005225176,0.00036125025,0.13032405,1.7648644,0.0017752588,-0.0015972594,-0.07726617,0.07448726,0.046796933,-0.15265028,1.6345012,0.0,nan,0.102600835,14.185874,10.0123825,7.0725994,3.162318,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
800000,800000,0,nan,nan,0.00020376623,-0.00016345513,0.016731152,7.1010354e-06,-6.389038e-06,0.0,0.0055495817,0.0011824141,0.12924482,1.7027525,0.0017752588,-0.0015972594,-0.07726617,0.020087477,0.082739025,-0.13023148,1.6344889,0.0,nan,0.10230865,14.191413,10.013951,7.0728254,3.1623204,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
808000,808000,0,nan,nan,0.00024687182,-0.00014190463,0.018155629,7.1010354e-06,-6.389038e-06,0.0,0.0059516653,0.00211587,0.12831497,1.6426109,0.0017752588,-0.0015972594,-0.07726617,0.05807477,0.094009444,-0.13972072,1.6344881,0.0,nan,0.10198068,14.19727,10.015612,7.07307,3.1623228,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
816000,816000,0,nan,nan,0.00029439531,-0.00011212109,0.019594807,7.1010354e-06,-6.389038e-06,0.0,0.0063611767,0.0030821534,0.1271407,1.5840153,0.0017752588,-0.0015972594,-0.07726617,0.037878778,0.095755585,-0.1509711,1.6344897,0.0,nan,0.101628795,14.203444,10.017362,7.073333,3.1623251,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
824000,824000,0,nan,nan,0.00034563086,-7.297839e-05,0.021011578,7.1010354e-06,-6.389038e-06,0.0,0.0067920955,0.0039687026,0.12597701,1.5271239,0.0017752588,-0.0015972594,-0.07726617,0.05243522,0.073078126,-0.15127192,1.6344987,0.0,nan,0.10129094,14.20993,10.0192,7.0736136,3.1623275,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
832000,832000,0,nan,nan,0.00040191374,-2.57157e-05,0.022406934,7.1010354e-06,-6.389038e-06,0.0,0.0075079664,0.0047715628,0.1249552,1.4720125,0.0017752588,-0.0015972594,-0.07726617,0.09174386,0.08284258,-0.13321823,1.6344923,0.0,nan,0.10096571,14.21673,10.021129,7.0739145,3.16233,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
840000,840000,0,nan,nan,0.0004643324,3.0287165e-05,0.023781577,7.1010354e-06,-6.389038e-06,0.0,0.008153696,0.0057366,0.123862706,1.4184166,0.0017752588,-0.0015972594,-0.07726617,0.07151877,0.10010929,-0.14280899,1.6344883,0.0,nan,0.1006512,14.22384,10.023146,7.0742345,3.1623323,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
848000,848000,0,nan,nan,0.00053192826,9.607915e-05,0.025135666,7.1010354e-06,-6.389038e-06,0.0,0.008680223,0.0067853048,0.12280626,1.3663944,0.0017752588,-0.0015972594,-0.07726617,0.05568952,0.09920718,-0.13485736,1.6344941,0.0,nan,0.10034755,14.231257,10.02525,7.0745726,3.162335,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
856000,856000,0,nan,nan,0.0006049093,0.00017042116,0.026469907,7.1010354e-06,-6.389038e-06,0.0,0.009432515,0.007489593,0.12176288,1.3158771,0.0017752588,-0.0015972594,-0.07726617,0.09594396,0.052971706,-0.13999453,1.6344953,0.0,nan,0.10005479,14.238981,10.027443,7.0749297,3.1623373,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
864000,864000,0,nan,nan,0.0006839083,0.00025074213,0.027783783,7.1010354e-06,-6.389038e-06,0.0,0.009993452,0.008025079,0.12053071,1.266619,0.0017752588,-0.0015972594,-0.07726617,0.05212528,0.05592401,-0.16139726,1.6344863,0.0,nan,0.1,14.247009,10.029722,7.0753074,3.1623397,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
