timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
493212619,493212025,0,nan,nan,-0.55554587,-0.9761009,-0.15692316,-0.96249014,-0.88226163,-0.27414298,0.001622197,-0.004636453,-0.0035211162,-0.002494815,0.006603612,0.0010725517,0.0,-0.005781492,-0.021820363,-0.03281809,-0.15551077,2.5701025,nan,0.10048122,0.0139095,0.009623648,0.04149661,0.028005265,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
493223442,493222691,0,nan,nan,-0.5555506,-0.9761086,-0.1569338,-0.96249014,-0.88226163,-0.27414298,0.0015435368,-0.0044036736,-0.0034851355,-0.0024456256,0.006603612,0.0010725517,0.0,-0.025285024,0.03130389,-0.020579979,-0.15550695,2.5701025,nan,0.10056517,0.012721185,0.008832978,0.039511353,0.026756648,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
493318917,493318338,0,nan,nan,-0.5555659,-0.97613984,-0.15702672,-0.96249014,-0.88226163,-0.27414298,0.0015119872,-0.0036990545,-0.0032299522,-0.0020860175,0.006603612,0.0010725517,0.0,0.0054035434,0.032110587,-0.017114861,-0.1554853,2.5701025,nan,0.100502424,0.014103496,0.009754864,0.04161845,0.0280849,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
493414480,493413923,0,nan,nan,-0.5555769,-0.9761322,-0.15705019,-0.96249014,-0.88226163,-0.27414298,0.0015187662,-0.004128904,-0.0025879114,-0.001328405,0.006603612,0.0010725517,0.0,0.017837465,-0.0058127334,0.052637,-0.15542085,2.5701025,nan,0.10051403,0.013962816,0.009660314,0.04150867,0.02801523,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
493520758,493520202,0,nan,nan,-0.55562824,-0.97606117,-0.1569761,-0.96249014,-0.88226163,-0.27414298,0.0007521244,-0.0034126379,-0.0019765259,-0.00058869063,0.006603612,0.0010725517,0.0,0.002677421,0.019560106,0.0046721767,-0.15546915,2.5701025,nan,0.1004822,0.014130867,0.009774567,0.04159314,0.028072696,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
493616404,493615822,0,nan,nan,-0.55568576,-0.97589487,-0.15687303,-0.96249014,-0.88226163,-0.27414298,0.00069149793,-0.0023902059,-0.0017561195,-0.00026294444,0.006603612,0.0010725517,0.0,-0.0149326455,-0.008842278,0.012068876,-0.15539502,2.5701025,nan,0.10047252,0.01397383,0.009668994,0.041478366,0.027997952,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
493722777,493722054,0,nan,nan,-0.5557972,-0.97561204,-0.1566768,-0.96249014,-0.88226163,-0.27414298,0.0010499571,-1.4201902e-05,-0.00062128046,0.0009648042,0.006603612,0.0010725517,0.0,0.06271676,0.040663492,-0.074437894,-0.15543997,2.5701025,nan,0.10041063,0.012642558,0.008783619,0.03914346,0.026530996,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
493818364,493817772,0,nan,nan,-0.5558847,-0.97537357,-0.1564394,-0.96249014,-0.88226163,-0.27414298,-0.00061261276,-0.0020707168,0.0008625673,0.0024974484,0.006603612,0.0010725517,0.0,-0.024286069,-0.011780771,0.06554229,-0.15554851,2.5701025,nan,0.10023879,0.014102943,0.009753083,0.041763518,0.028177679,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
493914103,493913392,0,nan,nan,-0.5559676,-0.9750964,-0.15620634,-0.96249014,-0.88226163,-0.27414298,-0.0006582922,-0.0011187856,0.0005833275,0.0022251639,0.006603612,0.0010725517,0.0,-0.058837794,-0.016789492,0.08479202,-0.15510221,2.5701025,nan,0.10012608,0.013889032,0.009614823,0.04117762,0.027814317,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
494020238,494019642,0,nan,nan,-0.5560948,-0.97489107,-0.15589176,-0.96249014,-0.88226163,-0.27414298,-0.00023433502,1.848213e-05,0.0015551458,0.003153295,0.006603612,0.0010725517,0.0,0.02287036,-0.034956448,0.01057679,-0.1553747,2.5701025,nan,0.1,0.014156157,0.009789211,0.04181386,0.02821061,inf,inf,inf,inf,1,1,1,1,2,1,1,0,3,1,0,0,1,0
