timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
677456037,677455724,0.9993896,0.009290778,0.031764273,-0.0111876065,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677505408,677505143,0.9993899,0.00924587,0.031786084,-0.011145108,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677554825,677554561,0.99938834,0.009313577,0.03181234,-0.011144759,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677604242,677603980,0.99938655,0.009334286,0.031866737,-0.011137356,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677653694,677653398,0.99938405,0.009320347,0.031985193,-0.01103228,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677708037,677707761,0.9993868,0.009202985,0.03190841,-0.011097643,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677757468,677757177,0.9993816,0.009174306,0.03211455,-0.010998872,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677801919,677801653,0.9993806,0.009218102,0.032119155,-0.0110372435,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677856296,677856014,0.99937946,0.009134375,0.032240823,-0.010855983,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677905722,677905432,0.9993742,0.008921767,0.03239127,-0.011060761,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
677955112,677954851,0.99936765,0.0088551575,0.032623738,-0.011027461,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678004553,678004269,0.9993619,0.008783422,0.032783505,-0.011141607,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678054315,678053692,0.999346,0.008623946,0.03335973,-0.010968598,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678103370,678103106,0.9993471,0.008308078,0.033455655,-0.010828686,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678152795,678152525,0.9993409,0.008288399,0.03368598,-0.010697776,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678207147,678206885,0.9993006,0.008199278,0.034919888,-0.010572461,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678256572,678256303,0.9992451,0.007766402,0.036564827,-0.010579682,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678306038,678305721,0.9991983,0.006915666,0.038022373,-0.010454432,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678355422,678355140,0.99912846,0.0062393,0.04000064,-0.010165207,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678404905,678404558,0.9990109,0.0062293974,0.04300671,-0.009424727,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678454238,678453977,0.9988196,0.006228296,0.047349237,-0.008878234,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678503689,678503395,0.9984884,0.004776517,0.05415296,-0.008091477,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678558022,678557755,0.9980379,0.0025123963,0.062176265,-0.0069451802,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678607440,678607174,0.9975716,-0.0012847426,0.0694633,-0.004911013,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678656905,678656592,0.9970265,-0.0045635924,0.076899216,-0.0020022553,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678701361,678701069,0.9965788,-0.0074677053,0.08229378,0.0016075313,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678755711,678755430,0.99636704,-0.0121690845,0.08372922,0.009701708,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678805113,678804848,0.9963024,-0.018989481,0.08122771,0.020565378,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678854529,678854266,0.9961875,-0.02541684,0.07623972,0.033941686,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678908899,678908626,0.9962409,-0.028258203,0.06651023,0.04777083,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
678953378,678953103,0.99675703,-0.024018332,0.053679086,0.05492918,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679002786,679002521,0.9974246,-0.015277023,0.036624514,0.05974511,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679052205,679051940,0.99793696,-0.0032434375,0.017077176,0.061804127,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679106566,679106300,0.998002,0.012148352,-0.0048056412,0.061817836,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679156014,679155718,0.9976397,0.024952698,-0.021109322,0.06038795,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679205424,679205137,0.9973253,0.03192336,-0.032732986,0.057024974,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679255012,679254555,0.99724734,0.03368762,-0.041221086,0.051612437,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679304240,679303974,0.99724615,0.03640326,-0.046162453,0.045212045,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679353701,679353396,0.997386,0.038120225,-0.047521725,0.03885845,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679403077,679402811,0.99765706,0.0389775,-0.045917172,0.032447748,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679457435,679457171,0.9979628,0.039188247,-0.04327236,0.025732499,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679506900,679506589,0.9982395,0.03891057,-0.0399733,0.020147543,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679556332,679556008,0.99854434,0.038096882,-0.03536836,0.014383488,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679605778,679605426,0.998894,0.03495264,-0.030077986,0.009197636,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679655112,679654845,0.9991276,0.032609843,-0.025720598,0.0043766196,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679704529,679704263,0.99922854,0.031886373,-0.022929648,4.7510846e-05,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679753944,679753684,0.9992921,0.030792532,-0.021216042,-0.004130997,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679808320,679808042,0.99936366,0.029187065,-0.01877541,-0.008238773,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679852781,679852518,0.9994268,0.027282389,-0.016605949,-0.0112274205,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679902199,679901937,0.9994684,0.025394524,-0.014770837,-0.014144805,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
679956656,679956297,0.9994644,0.024068043,-0.014316872,-0.016936967,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680006003,680005715,0.9994498,0.022519287,-0.014935905,-0.01923427,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680055397,680055134,0.99943537,0.021407418,-0.015158918,-0.020999013,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680104827,680104552,0.999426,0.021112451,-0.013577797,-0.022751082,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680154230,680153971,0.9994681,0.018722696,-0.011579299,-0.024064235,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680203682,680203389,0.99949664,0.01631843,-0.010344829,-0.025166528,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680253072,680252808,0.9995016,0.01508508,-0.010342506,-0.02573132,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680307432,680307168,0.9994984,0.013392074,-0.010857967,-0.026568104,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680356853,680356587,0.99952334,0.011690133,-0.009880543,-0.026812565,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680406325,680406005,0.99953765,0.011479143,-0.0075083384,-0.027137019,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680455877,680455423,0.99955356,0.0110603,-0.005198551,-0.027264837,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680505106,680504842,0.9995681,0.010191917,-0.004446389,-0.027202096,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680554525,680554260,0.99957305,0.010127371,-0.00524774,-0.026900526,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680603983,680603684,0.9995715,0.010217837,-0.0061749904,-0.026727678,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680658301,680658039,0.99959046,0.009613142,-0.0053495895,-0.026417455,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680707718,680707457,0.9996081,0.00951718,-0.003784645,-0.026053514,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680752201,680751934,0.9996214,0.009444833,-0.0026286682,-0.025708588,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680801625,680801352,0.9996294,0.009188079,-0.0024430298,-0.025510484,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680855982,680855713,0.99963737,0.009752958,-0.0033684631,-0.024877258,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680905393,680905131,0.9996394,0.010486728,-0.0036701476,-0.02445125,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
680954807,680954550,0.99966025,0.010507856,-0.001877499,-0.023783334,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681004233,681003968,0.99967,0.010969753,0.000684239,-0.023219297,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681053659,681053387,0.9996877,0.01069412,0.0022564058,-0.022476895,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681103064,681102805,0.9997065,0.0102824755,0.0025334682,-0.021789046,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681152488,681152223,0.9997169,0.010701499,0.0016141802,-0.021190833,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681206895,681206584,0.9997291,0.011113181,0.0017265981,-0.020381378,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681256309,681256002,0.9997231,0.011946003,0.0028522867,-0.020074118,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
