timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
333359808,333359361,0,nan,nan,-0.88659364,-1.0175469,-0.15457109,-0.92478853,-0.80555654,-1.2198957,0.0016856368,-0.0017462198,-1.4416163e-05,-0.00043795226,-0.016373314,-0.0023540638,-0.0018619192,0.0008335562,-0.005202643,0.003487567,-0.015359688,2.2460375,nan,0.10006418,0.018583836,0.0128990915,0.04527636,0.030772299,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
333369974,333369245,0,nan,nan,-0.8866015,-1.0175487,-0.1545745,-0.92478853,-0.80555654,-1.2198957,0.0016632457,-0.0016891914,4.3603086e-07,-0.0004217971,-0.016373314,-0.0023540638,-0.0018619192,0.012332154,0.003365408,0.0036314854,-0.015364543,2.2460375,nan,0.10005093,0.015730144,0.010975802,0.04135224,0.028246684,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
333458647,333458192,0,nan,nan,-0.8866399,-1.0175732,-0.15460406,-0.92478853,-0.80555654,-1.2198957,0.0015664576,-0.0015533536,-0.00014992316,-0.0005548099,-0.016373314,-0.0023540638,-0.0018619192,-0.0061053727,-0.006817865,0.000954734,-0.015363236,2.2460375,nan,0.10008066,0.018568419,0.01288572,0.045469757,0.03089196,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
333557511,333557022,0,nan,nan,-0.8866882,-1.0175811,-0.15464061,-0.92478853,-0.80555654,-1.2198957,0.0015427499,-0.0015289254,-0.00024166034,-0.00062117423,-0.016373314,-0.0023540638,-0.0018619192,-0.015143779,-0.0023702874,-0.0018353534,-0.015356679,2.2460375,nan,0.10010523,0.018436829,0.012801059,0.045059275,0.030633176,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
333656505,333655853,0,nan,nan,-0.886733,-1.0175732,-0.15469027,-0.92478853,-0.80555654,-1.2198957,0.0014741891,-0.0014022614,-0.00055220444,-0.00090234156,-0.016373314,-0.0023540638,-0.0018619192,-0.0002103682,-0.00014276923,-0.0023951628,-0.015368053,2.2460375,nan,0.10013322,0.018467868,0.01281781,0.045360066,0.030820897,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
333755093,333754683,0,nan,nan,-0.88677174,-1.0175552,-0.15475605,-0.92478853,-0.80555654,-1.2198957,0.0015451798,-0.0013377169,-0.0006325573,-0.00094888295,-0.016373314,-0.0023540638,-0.0018619192,-3.681435e-05,-0.007062105,0.0025843289,-0.015367438,2.2460375,nan,0.100160755,0.018510241,0.012842994,0.04559591,0.030968398,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
333853979,333853514,0,nan,nan,-0.8867979,-1.0175372,-0.15481478,-0.92478853,-0.80555654,-1.2198957,0.000926846,-0.00035114045,-0.00064186705,-0.00091604196,-0.016373314,-0.0023540638,-0.0018619192,-0.100470334,0.18780223,0.0339773,-0.015699541,2.2460375,nan,0.1001915,0.018427828,0.012790071,0.045331538,0.03080244,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
333962655,333962227,0,nan,nan,-0.8868308,-1.017536,-0.15490685,-0.92478853,-0.80555654,-1.2198957,0.00090639846,-0.0011751311,-0.0010975734,-0.0013198532,-0.016373314,-0.0023540638,-0.0018619192,-0.032764494,0.15208745,0.0125591485,-0.016185522,2.2460375,nan,0.10023778,0.018833218,0.013058805,0.046036378,0.031249002,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
334061538,334061058,0,nan,nan,-0.88683796,-1.0174938,-0.15498939,-0.92478853,-0.80555654,-1.2198957,0.001494235,-0.0030801084,-0.0016351282,-0.001799888,-0.016373314,-0.0023540638,-0.0018619192,-0.0024967236,0.0007940593,-0.010223099,-0.01545499,2.2460375,nan,0.10027244,0.018638674,0.012933021,0.04553711,0.030934948,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
334160341,334159892,0,nan,nan,-0.88682324,-1.0174716,-0.15509138,-0.92478853,-0.80555654,-1.2198957,0.0015869756,-0.0016582839,-0.0017898959,-0.0018886608,-0.016373314,-0.0023540638,-0.0018619192,-0.011514009,-0.05362476,-0.016864687,-0.014768152,2.2460375,nan,0.100304775,0.018619185,0.012917505,0.045667395,0.03101464,inf,inf,inf,inf,1,1,1,1,3,2,2,1,4,1,0,0,1,0
