timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
333359641,333359361,0.9997036,0.017064938,0.015441947,-0.007941686,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333364566,333364303,0.9997036,0.017065085,0.015441782,-0.007942518,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333409073,333408776,0.9997035,0.01706531,0.015445201,-0.007944654,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333463446,333463133,0.9997035,0.01706619,0.015446125,-0.007944002,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333507952,333507607,0.9997036,0.017069912,0.015442479,-0.007940061,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333557298,333557022,0.9997037,0.01706888,0.015437573,-0.007940171,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333611652,333611379,0.99970335,0.017071093,0.015446901,-0.007950016,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333661097,333660794,0.9997035,0.017066471,0.015446213,-0.007945654,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333710479,333710209,0.99970347,0.017066985,0.01544452,-0.007947483,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333759946,333759625,0.99970347,0.017065855,0.015444183,-0.007946157,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333809410,333809040,0.9997035,0.017065525,0.01544495,-0.00794072,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333858762,333858455,0.9997031,0.017064165,0.015414761,-0.008062864,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333908145,333907870,0.99970526,0.017104331,0.015438952,-0.007649088,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
333962516,333962227,0.9997001,0.017086659,0.015426936,-0.008354587,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
334011917,334011642,0.9997059,0.01706057,0.015452097,-0.0076322937,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
334061347,334061058,0.99970406,0.017018082,0.015438021,-0.007988529,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
334110765,334110473,0.99970245,0.017033774,0.015440544,-0.008155249,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
334160185,334159892,0.9997056,0.01706897,0.0154583445,-0.0076463297,-0.43296334,4.96652e-10,-4.411625e-10,-0.9014116,4
