timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
516244106,nan,nan,nan,-0.07516791,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
516254136,nan,nan,nan,-0.07515211,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
516344917,nan,nan,nan,-0.07518948,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
516445499,nan,nan,nan,-0.07517884,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
516546280,nan,nan,nan,-0.07517004,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
516646999,nan,nan,nan,-0.07516623,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
516747763,nan,nan,nan,-0.075050786,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
516848486,nan,nan,nan,-0.07516298,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
516949419,nan,nan,nan,-0.07533626,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
517049953,nan,nan,nan,-0.07517131,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
517140640,nan,nan,nan,-0.075339235,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
517241276,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.0009024739,-0.00013697147,1.9081254,-0.011399909,-0.007554595,9.661603,0.0,0.0,0.0,-8.513735e-06,-5.641959e-06,-0.0073953522
517342031,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.0008531213,-0.00011920929,1.7751119,-0.011054939,-0.0070329667,9.371776,0.0,0.0,0.0,-2.5016014e-05,-1.5914768e-05,-0.022172434
517442748,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.0007892251,-6.663799e-05,1.6420997,-0.011011861,-0.0067937397,9.05119,0.0,0.0,0.0,-4.3835294e-05,-2.7044072e-05,-0.038517732
517543653,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.00073724985,-1.180172e-05,1.5090863,-0.010373634,-0.008422596,8.705103,0.0,0.0,0.0,-5.830442e-05,-4.7338726e-05,-0.05616328
517644327,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.0007248521,1.7523766e-05,1.3760741,-0.010323131,-0.002433291,8.332127,0.0,0.0,0.0,-7.9894104e-05,-1.883204e-05,-0.07517978
517745007,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.00070786476,5.7697296e-05,1.2430605,-0.0048640966,-0.006558898,7.935458,0.0,0.0,0.0,-4.806263e-05,-6.480913e-05,-0.095404245
517845745,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.0006439686,0.00010621548,1.1100483,-0.0060068434,-0.0038271858,7.512764,0.0,0.0,0.0,-7.615129e-05,-4.8518858e-05,-0.116955645
517946440,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.0005594492,0.0002053976,0.9770346,-0.0033735211,-0.008521745,7.0533257,0.0,0.0,0.0,-4.3699783e-05,-0.00011038864,-0.14038049
518047194,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.00045579672,0.00026583672,0.84402204,-0.004681028,-0.012643663,6.575447,0.0,0.0,0.0,-7.899579e-05,-0.00021337115,-0.16474551
518147887,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-0.00026398897,0.0003119707,0.7110068,-0.007454502,-0.0028573954,6.0674706,0.0,0.0,0.0,-0.00013743516,-5.2680458e-05,-0.1906451
518248745,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,-4.708767e-05,0.00039076805,0.5779956,-0.0070594326,-0.0041245297,5.529937,0.0,0.0,0.0,-0.00015922748,-9.302993e-05,-0.2180517
518349391,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,0.00019747019,0.000436306,0.44498166,0.00011157413,-0.010758624,4.976279,0.0,0.0,0.0,2.7884864e-06,-0.000268882,-0.2462804
518450117,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,0.000500381,0.0004799366,0.31196904,0.014653699,-0.00073296204,4.396593,0.0,0.0,0.0,0.00041461093,-2.0738386e-05,-0.27583614
518540829,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,0.0009279847,0.00047051907,0.19225729,0.008866841,0.025904743,3.845647,0.0,0.0,0.0,0.00027397668,0.0008004311,-0.30392656
518641586,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,0.0013985634,0.00054836273,0.059243362,0.024236133,0.022311106,3.2009032,0.0,0.0,0.0,0.00083387946,0.0007676462,-0.33679935
518742269,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,0.0019133091,0.0005968809,-0.07377021,0.028273944,0.015075972,2.531849,0.0,0.0,0.0,0.0010720447,0.0005716259,-0.37091163
518843029,-0.9166639,-1.8743353,-1.0,-0.07518435,0.0,0.0024036765,0.0006284714,-0.20678201,0.02697604,-0.007943196,1.8840473,0.0,0.0,0.0,0.0011113291,-0.00032723497,-0.40394032
