init,nom_init,pi,nom_pi
0.15050872921268976,0.8331517491027522,0.1418116406005176,0.7702907990675556
0.17712986807292605,0.9096563763463169,0.15112145758827122,0.7923240950824355
0.1647682440032147,0.8389499907818216,0.1501602772144793,0.788770416140062
0.17271212334524658,0.7772526237287981,0.1469716048317193,0.7929978179799823
0.22357828132088117,0.7963230863992772,0.15089604256813458,0.810423532541274
0.20573019865131237,0.8421408361139273,0.153898264213118,0.8220662468558966
0.17318013833528484,0.8518328767106557,0.1640919065049791,0.8193759294625061
0.3037605732150931,0.8316977815425322,0.1879206853061669,0.8105773020011497
0.44953384792772083,0.8064452664635835,0.21258802833615287,0.8017513270385421
0.47755966909968867,0.7702224073994844,0.2232216042221365,0.7925067071356794
0.3448915210345539,0.7204480797277247,0.2113847487642075,0.7729040945370239
0.16115085643322896,0.7426086866431624,0.18288201126236442,0.7614392486114118
0.1652981246427989,0.8072395621037901,0.16043870194088405,0.7628075190292428
0.2003391161981175,0.8241938145301564,0.15152840160110467,0.7565399690012815
0.16120559999858708,0.7747000617572212,0.14777695609615954,0.7331652946354935
0.16155413543853878,0.7117460090366317,0.15020303930408513,0.7044114545617068
0.26817931267883,0.6695624959674509,0.16289919494074911,0.6819364499224971
0.3421266621837202,0.6373301606187893,0.17299444075973744,0.6647271642183159
0.303443385254372,0.6076598419653556,0.16474889069597456,0.6496561201706712
0.16216435633920004,0.600431925703404,0.13983227116307498,0.6423239296615283
0.1477033450866661,0.6328507105299194,0.12086540485036643,0.6521868982234642
0.30000260024858155,0.6928663882135011,0.1273503426911258,0.6826143569375782
0.36481601639768746,0.7540238994826726,0.14401465060630267,0.7303271038026024
0.30211005183402684,0.7779630271762972,0.14605287283674784,0.7556256522239799
0.17839067675111012,0.7763513742006877,0.14061318503497064,0.7319973808500143
0.21849344705347845,0.7606074147913975,0.13773010025071553,0.6902792971932689
0.37737842214812534,0.7368874014899505,0.14994489296875588,0.6800777233965989
0.4236039105946158,0.7302273146828397,0.18190803797976293,0.7106183158097736
0.28874757316298266,0.7529921426037282,0.20119312011177307,0.7461792897833239
0.18416044979354,0.7847912496577255,0.1981663952358834,0.7654429119285758
0.3803347919016529,0.792968286191741,0.1953192438788421,0.7770864109119774
0.4872086289794856,0.7647279475951995,0.19802516202679188,0.7865176952238025
0.4189766030659564,0.7557294457278171,0.19296488711151227,0.7907752668973049
0.24121346559876308,0.7780060469854162,0.17516173330869492,0.788730966626295
0.19662097693814756,0.7798144440335195,0.15705706736207606,0.7899413664053748
0.35199059945574085,0.7798452472787475,0.15899207846518662,0.7990643320633345
0.4038493654128011,0.8017174480898013,0.16975248711951801,0.8049448406319948
0.2859858806843389,0.8332951464318938,0.16732991771718883,0.8015916760206979
0.14158865231242143,0.8441279104339221,0.15339236666360312,0.795121754798802
0.321948852059878,0.824057421710418,0.15040367726930584,0.7917175453429676
0.45664227402403146,0.7893229689824478,0.1654863394515806,0.7890078573883436
0.39983317457528145,0.7589934003904842,0.17761438766322304,0.7820084945814516
0.2094044920672622,0.7395651923704817,0.17338172167133653,0.7713904332938888
0.24770192942633606,0.7313768919853032,0.16319342330626135,0.7621620340526039
0.42898276862634954,0.736722808493894,0.16495026552759673,0.7571894779027664
