timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
5788000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.624022,0.0
5892000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6240091,0.0
5988000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6240062,0.0
6092000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6239128,0.0
6188000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6241368,0.0
6292000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6242766,0.0
6388000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6241776,0.0
6492000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6242774,0.0
6588000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6243637,0.0
6692000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6243316,0.0
6788000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.624195,0.0
6892000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6242087,0.0
6988000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.624244,0.0
7092000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6241552,0.0
7188000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.623967,0.0
7292000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6238244,0.0
7388000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6237779,0.0
7492000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6236534,0.0
7588000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6238043,0.0
7692000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6238862,0.0
7788000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6236874,0.0
7892000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6236498,0.0
7988000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6236435,0.0
8092000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6234547,0.0
8188000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6233746,0.0
8292000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6232843,0.0
8388000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6231848,0.0
8492000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.623128,0.0
8588000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6231632,0.0
8692000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6231513,0.0
8788000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6233212,0.0
8892000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6234173,0.0
8988000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6234303,0.0
9092000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6233989,0.0
9188000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6233455,0.0
9292000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6232597,0.0
9388000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6231807,0.0
9492000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6232715,0.0
9588000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6234149,0.0
9692000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.623521,0.0
9788000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6234547,0.0
9892000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6235132,0.0
9988000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.623502,0.0
10084000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6235033,0.0
10188000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.623584,0.0
10292000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6235967,0.0
10388000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6236043,0.0
10492000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6235595,0.0
10588000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6235825,0.0
10692000,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.6236261,0.0
10788000,0.0,0.0,-1.0,0.008466108,-0.010032641,2.3208227,0.036060017,-0.03160135,9.50433,5.674574e-05,-4.972937e-05,-0.015414059,1.6235263,0.0
10892000,0.0,0.0,-1.0,0.008181846,-0.010249782,2.1318316,0.027733931,-0.03347549,9.20611,8.6372886e-05,-0.000104254046,-0.030619025,1.6235263,0.0
10988000,0.0,0.0,-1.0,0.008077542,-0.010669054,1.9573784,0.028853392,-0.033890903,8.894869,0.00013685598,-0.00016074964,-0.046487898,1.6235263,0.0
11092000,0.0,0.0,-1.0,0.00818274,-0.011291377,1.7683876,0.027163763,-0.032705665,8.518431,0.00018212644,-0.00021928355,-0.06568092,1.6235263,0.0
11188000,0.0,0.0,-1.0,0.008346199,-0.011975176,1.5939343,0.026259825,-0.03482278,8.135703,0.00022887153,-0.0003035033,-0.08519459,1.6235263,0.0
11284000,0.0,0.0,-1.0,0.006694104,-0.00968608,1.419481,0.016045865,-0.020621818,7.720683,0.00017321196,-0.00022260846,-0.10635471,1.6235263,0.0
11388000,0.0,0.0,-1.0,0.0053723934,-0.007821043,1.23049,0.011385032,-0.012836648,7.229561,0.00015349261,-0.00017306325,-0.13139498,1.6235263,0.0
11492000,0.0,0.0,-1.0,0.00442932,-0.0064323237,1.0414994,0.009810355,-0.011911285,6.700738,0.00015929008,-0.00019340272,-0.15835744,1.6235263,0.0
11588000,0.0,0.0,-1.0,0.0038135524,-0.005546245,0.8670471,0.008592883,-0.01390091,6.1735897,0.00016127438,-0.0002608974,-0.18523455,1.6235263,0.0
11692000,0.0,0.0,-1.0,0.0019528123,-0.0048722555,0.6780572,-0.00031763478,-0.011793466,5.5656223,-6.6665507e-06,-0.00024752243,-0.21623224,1.6235263,0.0
11788000,0.0,0.0,-1.0,0.0005602247,-0.00447273,0.5036049,-0.00613169,-0.0066040796,4.9727983,-0.00014182243,-0.00015274853,-0.24645784,1.6235263,0.0
11892000,0.0,0.0,-1.0,-0.00059230794,-0.0041579898,0.314615,-0.0057371627,-0.0040423665,4.2902527,-0.0001587664,-0.000111865746,-0.281258,1.6235263,0.0
11988000,0.0,0.0,-1.0,-0.0013920303,-0.003953509,0.1401627,-0.0065725893,-0.0066461493,3.6281917,-0.00018733332,-0.00018942995,-0.3150137,1.6235263,0.0
12092000,0.0,0.0,-1.0,-0.003582649,-0.004919659,-0.04882717,-0.011476126,-0.008172522,2.88173,-0.00043283313,-0.0003082346,-0.35307264,1.6235263,0.0
12188000,0.0,0.0,-1.0,-0.005189678,-0.005677089,-0.22327948,-0.01933898,-0.011328345,2.1488867,-0.0007715668,-0.00045196665,-0.39043728,1.6235263,0.0
12292000,0.0,0.0,-1.0,-0.006637139,-0.006464563,-0.41226935,-0.025684504,-0.012595008,1.3206933,-0.0011301686,-0.0005542051,-0.43266338,1.6235263,0.0
12388000,0.0,0.0,-1.0,-0.00781808,-0.007123478,-0.58672166,-0.029866328,-0.016366178,0.5194149,-0.0014409022,-0.0007895869,-0.4735172,1.6235263,0.0
12492000,0.0,0.0,-1.0,-0.009164256,-0.007336669,-0.77571154,-0.03496029,-0.018672578,-0.3815701,-0.0018516894,-0.0009890026,-0.51945466,1.6235263,0.0
12588000,0.0,0.0,-1.0,-0.010292804,-0.007608352,-0.95016384,-0.034970257,-0.02141372,-1.2496252,-0.0020124703,-0.0012323179,-0.56371313,1.6235263,0.0
12684000,0.0,0.0,-1.0,-0.0111781955,-0.007974085,-1.1246161,-0.030914724,-0.023708288,-2.1552444,-0.0019270383,-0.0014778322,-0.6098869,1.6235263,0.0
12788000,0.0,0.0,-1.0,-0.011857604,-0.008473329,-1.1358657,-0.029968629,-0.02847468,-2.4462082,-0.0019023072,-0.0018074763,-0.6247219,1.6235263,0.0
12884000,0.0,0.0,-1.0,-0.013485306,-0.00739518,-1.1359973,-0.035598386,-0.021727791,-2.6733513,-0.0023119664,-0.0014111293,-0.63630295,1.6235263,0.0
12988000,0.0,0.0,-1.0,-0.014845443,-0.0065692235,-1.1370338,-0.043713152,-0.018887276,-2.9250379,-0.0028877473,-0.0012477178,-0.6491354,1.6235263,0.0
13092000,0.0,0.0,-1.0,-0.015952816,-0.0060572424,-1.1388644,-0.043638658,-0.018779635,-3.1785388,-0.0029470974,-0.0012682658,-0.6620604,1.6235263,0.0
13188000,0.0,0.0,-1.0,-0.016756676,-0.005774312,-1.1409913,-0.048697602,-0.018187426,-3.415927,-0.0033427558,-0.0012484419,-0.6741638,1.6235263,0.0
13284000,0.0,0.0,-1.0,-0.017517095,-0.0054235235,-1.1405509,-0.051479142,-0.020684421,-3.6411746,-0.0035893673,-0.0014422148,-0.6856482,1.6235263,0.0
13388000,0.0,0.0,-1.0,-0.018226199,-0.005350369,-1.1412104,-0.049750853,-0.021908011,-3.8916583,-0.0035448673,-0.0015609984,-0.69841933,1.6235263,0.0
13492000,0.0,0.0,-1.0,-0.018706847,-0.005501079,-1.1427786,-0.049920697,-0.02469726,-4.1448083,-0.0036238602,-0.0017928318,-0.7113264,1.6235263,0.0
13588000,0.0,0.0,-1.0,-0.01905939,-0.005835857,-1.1447853,-0.050402123,-0.029215405,-4.380334,-0.0037237192,-0.00215844,-0.72333485,1.6235263,0.0
13684000,0.0,0.0,-1.0,-0.0151679125,-0.0057822447,-1.1425658,-0.032745007,-0.03024364,-4.5941195,-0.0024494699,-0.002262357,-0.7342349,1.6235263,0.0
13788000,0.0,0.0,-1.0,-0.011739399,-0.0060538305,-1.1414402,-0.024953969,-0.033171188,-4.831884,-0.0018973346,-0.0025221175,-0.7463575,1.6235263,0.0
