timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
380000,380000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
388000,388000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
476000,476000,0.0,0.0,2.910383e-11,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
580000,580000,0.0,1.9014502e-11,1.4551915e-11,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
680000,680000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
776000,776000,0.0,0.0,0.0,5.820766e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
880000,880000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
980000,980000,8.731149e-11,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1080000,1080000,4.3024667e-11,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1180000,1180000,8.508416e-11,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1280000,1280000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1380000,1380000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1480000,1480000,0.0020000013,0.0,0.0020000013,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1580000,1580000,0.0019999994,0.0,0.0020000013,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1680000,1680000,0.0020000003,0.0,0.0020000022,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1780000,1780000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1880000,1880000,0.0019999994,0.0,0.0020000013,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1980000,1980000,0.0019999961,0.0,0.0020000008,1.8626451e-09,nan,nan,nan,nan,nan,nan,nan,nan,0
2080000,2080000,0.0019999975,1.8626451e-09,0.0019999994,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2180000,2180000,0.0019999978,0.0,0.001999998,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2280000,2280000,0.0020000013,0.0,0.0019999994,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2380000,2380000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2480000,2480000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2580000,2580000,0.0019999985,0.0,0.0020000022,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2680000,2680000,0.0020000008,1.8626451e-09,0.001999998,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
