timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
193924059,nan,nan,nan,-0.072243035,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
193934793,nan,nan,nan,-0.072243065,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
194030438,nan,nan,nan,-0.07221894,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
194126122,nan,nan,nan,-0.0721338,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
194221628,nan,nan,nan,-0.0722835,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
194328138,nan,nan,nan,-0.072426945,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
194423648,nan,nan,nan,-0.07201075,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
194519298,nan,nan,nan,-0.07227404,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
194625614,nan,nan,nan,-0.07233421,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
194721180,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,-0.00057490764,-0.0006867975,1.9332931,-0.0050658993,0.0080736475,9.728299,0.0,0.0,0.0,-2.1992362e-06,3.5049763e-06,-0.003994794
194827516,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,-0.00045446752,-0.0007778495,1.7928481,-0.012480085,-0.00083030784,9.415454,0.0,0.0,0.0,-2.661252e-05,-1.7705477e-06,-0.019945461
194923177,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,-0.00039002896,-0.00079613924,1.6665661,-0.01167217,-0.0014859026,9.123854,0.0,0.0,0.0,-3.954589e-05,-5.034311e-06,-0.034812935
195018782,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,-0.00034824014,-0.0008333981,1.5402921,-0.010911321,0.00074078236,8.799052,0.0,0.0,0.0,-5.869345e-05,3.9847673e-06,-0.0513732
195125180,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,-0.0003112644,-0.00081374944,1.3998538,-0.005236744,0.0067665526,8.419792,0.0,0.0,0.0,-3.660067e-05,4.7292815e-05,-0.07071008
195220918,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,-0.00021013319,-0.00074030756,1.2734754,-0.007454743,0.008243099,8.047067,0.0,0.0,0.0,-6.890831e-05,7.619551e-05,-0.08971379
195327126,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,-0.00014880895,-0.00068662764,1.1332588,-0.016624264,0.0033612365,7.6058936,0.0,0.0,0.0,-0.00018986569,3.8388673e-05,-0.11220736
195422700,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,-0.0001289904,-0.00064540503,1.0069479,-0.0016403538,-0.0046835067,7.1835704,0.0,0.0,0.0,-1.5263586e-05,-4.3580298e-05,-0.13373984
195518431,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,-3.771186e-05,-0.0006408751,0.88059723,0.00047423737,0.010564727,6.7383566,0.0,0.0,0.0,7.659526e-06,0.00017063352,-0.15643944
195624728,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.00014784634,-0.00069721637,0.74022466,-0.0054343925,-0.0013092165,6.199091,0.0,0.0,0.0,-0.00012348012,-2.9747982e-05,-0.18393433
195720371,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0003606975,-0.00074030756,0.61387944,0.0022908754,0.0012570334,5.7045813,0.0,0.0,0.0,-0.0,-0.0,-0.2091473
195826637,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0005401969,-0.0007850975,0.47362578,-0.011966035,0.0014340144,5.112823,0.0,0.0,0.0,-0.00030697242,3.67877e-05,-0.23931858
195922283,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0007292658,-0.00082937774,0.34730026,0.009353295,0.010609008,4.5772567,0.0,0.0,0.0,0.00026536538,0.00030099167,-0.26662487
196028781,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0011045724,-0.00081743003,0.2068843,0.0036383467,-0.0052561075,3.9524796,0.0,0.0,0.0,0.000117309224,-0.00016946981,-0.29847962
196124274,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0014755189,-0.0009530455,0.08055758,-0.00034191879,0.010374671,3.3516266,0.0,0.0,0.0,-1.1836283e-05,0.0003591424,-0.32911462
196219928,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0017611891,-0.0010221839,-0.04574564,0.0125580365,-0.0061807972,2.7305732,0.0,0.0,0.0,0.0004871597,-0.00023976961,-0.36077952
196326219,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0022316247,-0.0011224091,-0.1860942,0.041760184,-0.009014499,2.001576,0.0,0.0,0.0,0.0016881977,-0.0003644203,-0.39794803
196421907,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0029799729,-0.0013195752,-0.31239328,0.027277095,-0.02522925,1.333464,0.0,0.0,0.0,0.0011995417,-0.0011094854,-0.43201226
196528203,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0036883443,-0.0014925628,-0.4527166,0.062121436,-0.013423797,0.5777337,0.0,0.0,0.0,0.0029793615,-0.00064380903,-0.47054377
196623847,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.004939574,-0.0017811775,-0.5790603,0.08933081,0.020280449,-0.15385878,0.0,0.0,0.0,0.004626394,0.0010503134,-0.5078446
196719604,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0064699617,-0.002137175,-0.7054545,0.111942485,-0.06431387,-0.7464936,0.0,0.0,0.0,0.006142678,-0.0035291286,-0.5380606
196825844,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0098775625,-0.0026310533,-0.83458036,0.22364604,-0.03383193,-1.4156879,0.0,0.0,0.0,0.013049002,-0.0019739803,-0.57218
196921457,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.015319904,-0.0038099736,-0.8267586,0.36459836,-0.117138416,-1.3203847,0.0,0.0,0.0,0.021091871,-0.0067764106,-0.5673209
197027710,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.027223261,-0.0069918693,-0.81746817,0.6753478,-0.18287688,-1.5305033,0.0,0.0,0.0,0.03980734,-0.010779396,-0.5780339
197123362,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.0447086,-0.010154456,-0.810332,0.9691211,-0.090924025,-1.6163589,0.0,0.0,0.0,0.05755583,-0.0053999517,-0.58241135
197219045,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.067605354,-0.0128353955,-0.8030312,1.06081,-0.17268616,-1.6149362,0.0,0.0,0.0,0.06299306,-0.010254456,-0.5823388
197325385,-0.6192449,-0.91054684,-1.0,-0.07222908,0.0,0.09338056,-0.014869628,-0.7918582,1.1358218,-0.10360161,-1.6094737,0.0,0.0,0.0,0.06741542,-0.006149157,-0.58206034
