timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],reversible_flags
132458266,132458123,0.00069541816,0.015618083,0.029231282,0.011526945,nan,nan,nan,nan,0
132459497,132459358,0.0008150159,0.015617506,0.029597027,0.011534474,nan,nan,nan,nan,0
132560798,132560663,1.5410059e-11,0.015943538,0.028953046,0.013009507,nan,nan,nan,nan,0
132658394,132658261,1.7372914e-13,0.01607988,0.029504657,0.013424777,nan,nan,nan,nan,0
132759702,132759565,3.245678e-05,0.016350808,0.02963323,0.013185053,nan,nan,nan,nan,0
132862248,132862105,0.00022090666,0.015648251,0.028949557,0.012638587,nan,nan,nan,nan,0
132959846,132959705,0.004683414,0.019272065,0.033932015,0.017149061,nan,nan,nan,nan,0
133061143,133061008,0.019703576,0.035323538,0.049037572,0.033734214,nan,nan,nan,nan,0
133159982,133159841,0.03880146,0.053718198,0.06598833,0.04728963,nan,nan,nan,nan,0
133261281,133261146,0.055775724,0.0704469,0.08300217,0.069092825,nan,nan,nan,nan,0
133358881,133358744,0.074982904,0.09234639,0.10421956,0.08522235,nan,nan,nan,nan,0
133460184,133460048,0.09562236,0.11660944,0.1277351,0.108407035,nan,nan,nan,nan,0
133561485,133561353,0.123648584,0.13113225,0.14445208,0.13740496,nan,nan,nan,nan,0
133660323,133660186,0.14320368,0.15718833,0.17274544,0.15815265,nan,nan,nan,nan,0
133761633,133761491,0.16653277,0.18429087,0.19882664,0.1798762,nan,nan,nan,nan,0
133859224,133859089,0.19687894,0.20630589,0.22461843,0.21024114,nan,nan,nan,nan,0
133960528,133960393,0.21354258,0.23497793,0.26151368,0.23737264,nan,nan,nan,nan,0
134058132,134057991,0.24748912,0.26432365,0.29048288,0.26175734,nan,nan,nan,nan,0
134160671,134160531,0.2734549,0.2961461,0.31687853,0.29525352,nan,nan,nan,nan,0
134261969,134261836,0.31428856,0.33954176,0.35330096,0.3097521,nan,nan,nan,nan,0
134359573,134359434,0.33830127,0.36463755,0.39522713,0.35749,nan,nan,nan,nan,0
134460875,134460738,0.3820991,0.41219872,0.41982144,0.3682873,nan,nan,nan,nan,0
134559710,134559572,0.41534412,0.45949206,0.46638525,0.3869726,nan,nan,nan,nan,0
134661016,134660876,0.44919568,0.5006659,0.49121398,0.42053616,nan,nan,nan,nan,0
134758613,134758475,0.44937706,0.53271335,0.5558911,0.46749866,nan,nan,nan,nan,0
134859917,134859779,0.4760847,0.581227,0.6132398,0.4737512,nan,nan,nan,nan,0
134961221,134961084,0.4414971,0.6370233,0.6974338,0.47856194,nan,nan,nan,nan,0
135060055,135059917,0.44283238,0.6642149,0.7005273,0.45287034,nan,nan,nan,nan,0
135161354,135161222,0.5530141,0.6956958,0.73672724,0.31486073,nan,nan,nan,nan,0
135258962,135258820,0.6293781,0.62150705,0.8228968,0.26277444,nan,nan,nan,nan,0
